Port,SupplyDemand,Num Samples
Bintulu-9138ac0a6d36,Supply,58
Bizerte-7acaf9640d06,Demand,83
Bizerte-7acaf9640d06,Supply,10
Bonny-775a4af5a5d0,Supply,482
Boothville-58c144c740f9,Demand,11
Borssele-de0808e9fb6b,Demand,13
Botany Bay-e95064e7be7a,Demand,39
Boulogne-sur-mer-24b4a8d53d38,Demand,49
Bourgas-16d93a3bfdd3,Demand,436
Bourgas-16d93a3bfdd3,Supply,14
Bouri-58e9b14b246d,Supply,117
Bozcaada-66352f54629d,Demand,193
Bozcaada-66352f54629d,Supply,118
Braithwaite-b1d8281d4bdb,Demand,53
Braithwaite-b1d8281d4bdb,Supply,25
Brass River-514a6c5295d8,Supply,468
Bridlington-7a14825d8088,Demand,10
Brisbane-2fb2da59f3d2,Demand,391
Brofjorden-8f0115714312,Demand,489
Brownsville-03c37f9d341d,Supply,29
Brunsbuttel-04769aa33742,Demand,213
Buenos Aires-5bd47f0ab4c0,Demand,139
Bukhta Vanina-3afcf26fbc36,Supply,38
Bullen Baai-4c584f3701f5,Demand,498
Bullen Baai-4c584f3701f5,Supply,305
Burnside-9cb1bffd1db9,Demand,17
Busan-de280da8be4e,Demand,11
Bushehr-f81f1081948c,Supply,25
Butinge Terminal-f297ef573599,Demand,505
Cabinda-459ca6a07faf,Supply,678
Calais-37c741d0d905,Demand,39
Caleta Cordova-d38c32cf43d2,Supply,652
Caleta Olivia-e52e82965ea8,Supply,413
Caleta Paula-700d0c4f0c4f,Supply,33
Callao-324582de5e88,Demand,62
Callao-324582de5e88,Supply,17
Canuku Terminal-f70399be83e6,Supply,1170
Caofeidian-29498c3cc308,Demand,399
Caofeidian-29498c3cc308,Supply,133
Cap Lopez-96c15e5e9e71,Supply,196
Cape Comorin-a3ddd23d6cf8,Demand,13
Cape Comorin-a3ddd23d6cf8,Supply,13
Cape Henlopen-e6bb66ba06d7,Demand,31
Cape Henlopen-e6bb66ba06d7,Supply,27
Cape May-485c180b3d95,Demand,111
Cape May-485c180b3d95,Supply,184
Cape Town-991a024cbdf1,Supply,18
Car Nicobar-b5a690362da1,Demand,11
Car Nicobar-b5a690362da1,Supply,21
Cartagena-4232156d91ca,Supply,13
Cartagena-c83bf0dcc291,Demand,117
Cartagena-c83bf0dcc291,Supply,60
Castellon-08c2845d53fd,Demand,255
Castries-21a3c522ed78,Demand,13
Castries-21a3c522ed78,Supply,21
Cayo Arcas Terminal-b6b6e0d459e4,Demand,95
Cayo Arcas Terminal-b6b6e0d459e4,Supply,719
Ceuta-e2de790bdd0f,Demand,25
Ceuta-e2de790bdd0f,Supply,41
Ceyhan-3b530c868db0,Demand,100
Ceyhan-3b530c868db0,Supply,2550
Chalmette-195ea9ec9b9d,Demand,164
Changxingdao-5c16d1a2a8e9,Demand,361
Changxingdao-5c16d1a2a8e9,Supply,18
Charco Azul-07e1063ddabf,Demand,15
Charco Azul-07e1063ddabf,Supply,148
Chennai-b824911cec6f,Demand,372
Cherbourg-61cd5e165c61,Demand,16
Cherry Point-69fb11f0514e,Demand,368
Cherry Point-69fb11f0514e,Supply,34
Chiba-6cce4016be7b,Demand,1008
Chiba-6cce4016be7b,Supply,11
Chiriqui Grande-4479d7260a3a,Demand,318
Chiriqui Grande-4479d7260a3a,Supply,18
Chisepo-478015b7d098,Demand,76
Chisepo-478015b7d098,Supply,44
Chittagong-68f7430b285f,Demand,55
Cienfuegos-b7bb7d28b57f,Demand,12
Cigading-b43a4e1b01ee,Demand,12
Cinta-3a938c039496,Supply,50
